date,close,avg_block_size,blocks_size,cost_per_transaction_percent,cost_per_transaction,difficulty,est_transaction_volume_USD,est_transaction_volume,hash_rate,median_confirmation_time,miners_revenue,n_transactions_excl_chains_longer_than_100,n_transactions_excl_popular,n_transactions_per_block,n_transactions,n_unique_addresses,output_volume,total_bitcoins,trade_volume,transaction_fees_USD,transaction_fees,mempool_count_mean,mempool_count_stddev,mempool_count_min,mempool_count_max,mempool_growth_mean,mempool_growth_stddev,mempool_growth_min,mempool_growth_max,mempool_size_mean,mempool_size_stddev,mempool_size_min,mempool_size_max,wallets_created,transactions_per_sec_mean,transactions_per_sec_stddev,transactions_per_sec_min,transactions_per_sec_max,utxo_count_mean,utxo_count_stddev,utxo_count_min,utxo_count_max,news_stories_total,news_stories_positive,news_stories_negative,news_stories_neutral
2016-05-15,457.57,0.7776969570000001,68378.46313999999,1.654658468,8.03913685,194255000000.0,97252822.46,212769.805,1342247.87,8.583333332999999,1609202.062,121299,237057,1440.079137,200171,353892,2042797.0590000001,15548450.0,9548354.609,20849.06235,45.61359577,2578.342361,1817.8568649999997,336.0,10580.0,1109.108576,646.2853673,0.0,9902.816667000001,2649797.94,1199821.419,425241.0,6330969.0,7237633,2.209641204,0.558276177,0.0,5.783333333,38301654.75,15591.99559,38263108,38329228,3,0,3,0
2016-05-16,454.16,0.9067635740000001,68506.3168,1.17758745,6.801159984,194255000000.0,138501762.6,304479.7807,1361560.789,10.9,1630979.375,143886,236230,1700.77305,239809,424856,2688738.834,15551975.0,17875806.65,27527.374639999998,60.51568467,5417.145833,2470.72673,0.0,11105.0,1331.051481,683.2223445000001,0.0,7270.383333,6702212.56,2817394.454,0.0,11812419.0,7248646,2.649953704,0.855682472,0.0,8.0,38403473.38,42380.71306,38336351,38457826,15,4,7,4
2016-05-17,453.78,0.867932745,68628.69532,1.12435872,6.80103818,194255000000.0,144340459.0,318709.7506,1361560.789,7.783333333,1622904.5369999998,145386,231143,1692.382979,238626,393224,2703819.915,15555500.0,16508087.61,26467.286790000002,58.440872600000006,3584.594444,1582.057784,1106.0,9659.0,1326.0387150000001,720.5795972999999,69.15,8489.033333,5659247.982000001,2337454.621,2227800.0,11247965.0,7260044,2.69568287,0.819116673,0.11666666699999999,9.666666667000001,38499675.08,25858.86857,38447834,38538448,18,12,1,5
2016-05-18,454.62,0.8743317340000001,68763.34241,1.133083703,7.529982603,194255000000.0,156226625.3,344947.2848,1487094.7619999999,9.966666667,1770178.43,139335,217458,1536.496732,235084,412831,2250217.344,15559325.0,14866087.64,26389.62999,58.26811656,4535.727778,3268.127505,201.0,15867.0,1397.598056,845.1843462000002,0.0,11849.71667,5153485.635,2665334.909,143704.0,11373899.0,7271336,2.626423611,0.906402246,0.0,17.25,38599544.79,32131.73485,38544529,38675376,45,7,14,24
2016-05-19,438.71,0.9558356029999999,68878.99852000001,0.8448169109999999,6.210867334,194255000000.0,161110261.4,364610.092,1168431.5990000002,11.61666667,1361086.733,134894,207801,1826.2166670000001,219146,372460,2544456.4269999997,15562325.0,26518499.39,24298.294130000002,54.98968957,7032.440972,3239.8145870000003,1664.0,16234.0,1206.591134,744.9160429,377.4833333,8463.216667,9515044.115,2471583.614,3699360.0,14898307.0,7286044,2.441076389,0.636119136,1.1,8.1,38713174.79,20148.20159,38656534,38737617,28,12,6,10
2016-05-20,442.68,0.781658289,68995.4656,1.0732437259999998,7.958216361,194255000000.0,155269360.8,351885.2369,1438812.4640000002,8.016666667,1666418.6730000002,126315,187757,1405.342282,209396,354677,2134599.692,15566050.0,25045661.43,22762.42319,51.58622819,3246.725694,1514.168577,980.0,8989.0,1244.840359,667.2074432000001,449.1,7928.033332999999,5066261.443,1572387.3290000001,1939264.0,9250066.0,7298025,2.356701389,0.5423512620000001,0.033333333,5.15,38735829.29,9204.156406999999,38711035,38750439,22,14,3,5
2016-05-21,443.19,0.891297454,69121.13854,1.560487634,8.304234429,194255000000.0,101887191.7,229532.5232,1361560.789,8.566666667,1589937.0280000002,117056,181887,1357.879433,191461,354128,1578456.149,15569575.0,11310985.63,25224.77795,56.82664163,2675.85,1176.761366,654.0,6520.0,1080.232083,522.0692896,33.26666667,5318.616667,3799989.5930000003,1038694.677,1572360.0,7620048.0,7307727,2.117893519,0.576694275,0.016666667,10.45,38754955.33,24432.30571,38682462,38784846,8,5,2,1
2016-05-22,439.32,0.603581788,69232.19759,2.397328522,11.03198827,194255000000.0,84832969.49,193682.5787,1776788.5469999998,6.75,2033724.9730000002,111058,218961,1001.8913039999999,184348,338084,1512379.669,15574175.0,12185445.88,18924.97348,43.20770201,1837.7534719999999,1223.769302,352.0,6703.0,1116.419838,902.5445892000001,165.1333333,9586.766667,1858026.8669999999,1229904.882,425543.0,7180531.0,7317059,2.0523611109999997,0.497731535,0.033333333,5.433333332999999,38674635.92,8534.004417,38657828,38690346,12,2,5,5
2016-05-23,444.15,0.644258265,69348.80834,1.5926946130000001,9.091051787,194255000000.0,127147867.8,287554.2615,1747819.168,7.55,2025077.241,129882,243404,1237.527778,222755,414216,2136337.688,15578675.0,16267423.84,24202.81646,54.73645083,3519.620139,3212.394847,324.0,12305.0,1220.9864929999999,615.3497865,286.6,7558.383333,2563399.886,2352153.149,271597.0,8608903.0,7334930,2.551180556,0.769332061,0.083333333,9.25,38736470.67,19953.90382,38686315,38762886,29,21,3,5
2016-05-24,445.98,0.8499673879999999,69473.75353999999,1.1266568829999999,6.74653752,194771000000.0,147616920.0,331470.1576,1456454.9230000002,8.183333333,1663136.19,146253,241338,1676.986395,246517,406728,2514701.1580000003,15582350.0,15674746.77,26511.68974,59.53134626,3025.277778,1706.0875600000002,399.0,9447.0,1290.202558,660.5685322,40.86666667,7646.85,3264695.0510000004,1491688.2480000001,410142.0,7109912.0,7346565,2.765358796,0.8105957709999999,0.133333333,7.7,38792586.17,16003.779540000001,38750833,38825192,26,10,8,8
2016-05-25,449.6,0.8714568629999999,69594.88605,0.9217622059999999,6.389728636,199312000000.0,171807424.3,383550.0833,1377192.07,9.9,1583655.904,150215,214342,1795.971014,247844,397464,3341064.5310000004,15585800.0,17482963.79,26820.961,59.87623565,5017.448611,3134.059001,592.0,14345.0,1266.891123,690.4681783,487.16666669999995,8128.216667000001,5108543.119,2311077.3419999997,1130264.0,10197724.0,7363557,2.7886689810000003,0.845064225,1.3,9.366666667,38867944.42,18593.89283,38825673,38902495,32,19,4,9
2016-05-26,453.38,0.823084058,69707.64856,0.944828566,7.157531951,199312000000.0,166731059.5,368474.573,1357376.3569999998,9.85,1575322.68,132895,208481,1630.318519,220093,364137,3584296.3819999998,15589175.0,16430495.24,25184.01695,55.65651605,4845.90625,2988.073437,524.0,13211.0,1176.296586,530.7477416,450.53333330000004,8763.683332999999,4340050.06,1814121.1940000001,867864.0,9264399.0,7376376,2.460219907,0.754517135,1.033333333,9.0,38922131.29,15015.449630000001,38881793,38944920,22,6,10,6
2016-05-27,473.46,0.9481306190000001,69839.43872,0.49567430100000004,7.745604157000001,199312000000.0,336430109.3,715367.3463,1377192.07,11.01666667,1667597.593,131821,187607,1548.8920859999998,215296,407566,4124114.202,15592650.0,62133880.56,33339.84254,70.89209327,6554.535417,3223.339622,697.0,13754.0,1495.155972,1011.593824,313.0833333,9399.5,13015500.66,4787030.638,1372168.0,19776751.0,7387064,2.413449074,0.760121563,0.2,8.1,38924343.29,34810.41585,38848270,38959659,19,5,6,8
2016-05-28,530.04,0.8633647520000001,69954.26623,0.6787840190000001,9.139539617999999,199312000000.0,259939042.6,497557.6491,1317744.93,9.116666667,1764424.6809999999,120803,174843,1451.533835,193054,377266,3665525.352,15595975.0,68432471.56,27344.93141,52.34180926,3538.529861,1952.120168,781.0,10152.0,1153.987743,745.2934068,243.16666669999998,9149.483333,5144766.767,2115623.706,1676570.0,9798956.0,7403194,2.216018519,0.709386125,0.45,10.58333333,38866152.04,8963.124487000001,38850838,38884678,8,3,3,2
